id,source1,source2,source3,question,answer,annotation
6830add1-d09f-46ea-9d8c-67c9add5a41a,"[{'single_authored_publications': [{'title': 'A Visualization Environment for the Space-Time-Cube', 'publishedin': 'SDH', 'year': '2005'}, {'title': 'Exploratory Visualization', 'publishedin': 'Encyclopedia of GIS', 'year': '2008'}, {'title': 'Exploratory Visualization', 'publishedin': 'Encyclopedia of GIS', 'year': '2017'}, {'title': 'A Usability Framework for the Design and Evaluation of an Exploratory Geovisualization Environment', 'publishedin': 'IV', 'year': '2004'}, {'title': 'Aim4GDI: Facilitating the Synthesis of GDI Resources through Mapping and Superimpositions of Metadata Summaries', 'publishedin': 'GeoInformatica', 'year': '2007'}]}, {'co_authored_publications': [{'title': 'Geobrowsing: creative thinking and knowledge discovery using geographic visualization', 'publishedin': 'Inf. Vis.', 'year': '2002', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/37/1967', 'name': 'Donna J. Peuquet', 'institutes': 'Penn State University, Department of Geography, University Park, PA, USA'}]}, {'title': 'Visualization for exploration of spatial data', 'publishedin': 'Int. J. Geogr. Inf. Sci.', 'year': '1999', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/m/AlanMMacEachren', 'name': 'Alan M. MacEachren', 'institutes': 'Penn State, University Park, USA'}]}]}]",[],"[{'author_name': 'M.J. Kraak', 'worksCount': '414', 'citedByCount': '4137', 'hIndex': '28', 'i10Index': '77', 'twoYearMeanCitedness': '0.56666666'}, {'author_name': 'M.J. Kraak', 'institute': [{'name': 'University of Twente', 'publicationsCount': '62142', 'publicationsCitedByCount': '1534417', 'institute_type': 'education'}]}]",What is the institute type in which the author of the article 'Exploratory Visualization' published in 2008 works?,education,Yes
a8299fe5-c92f-4000-b2a3-630962240d5a,"[{'single_authored_publications': [{'title': 'Representing orders by moving figures in space', 'publishedin': 'Discret. Math.', 'year': '1992'}, {'title': 'On Convex Quadrangulations of Point Sets on the Plane', 'publishedin': 'CJCDGCGT', 'year': '2007'}, {'title': 'Art Galleries, k-modems, and k-convexity', 'publishedin': 'FUN', 'year': '2012'}, {'title': 'A note on balanced colourings for lattice points', 'publishedin': 'Discret. Math.', 'year': '1990'}, {'title': 'Two-Floodlight Illumination of Convex Polygons', 'publishedin': 'WADS', 'year': '1995'}]}, {'co_authored_publications': [{'title': 'Discrete Geometry on Colored Point Sets in the Plane - A Survey', 'publishedin': 'Graphs Comb.', 'year': '2021', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/k/MikioKano', 'name': 'Mikio Kano', 'institutes': 'Ibaraki University, Hitachi, Japan'}]}, {'title': 'Isomorphic Triangulations with Small Number of Steiner Points', 'publishedin': 'Int. J. Comput. Geom. Appl.', 'year': '1999', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/k/EvangelosKranakis', 'name': 'Evangelos Kranakis', 'institutes': 'Carleton University, Ottawa, Canada'}]}, {'title': 'Pantographs and Phase Transitions for the Boundedness of Orbits', 'publishedin': 'J. Inf. Process.', 'year': '2020', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/k/EvangelosKranakis', 'name': 'Evangelos Kranakis', 'institutes': 'Carleton University, Ottawa, Canada'}]}, {'title': 'Some Problems in Distributed Computational Geometry', 'publishedin': 'SIROCCO', 'year': '1999', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/r/SRajsbaum', 'name': 'Sergio Rajsbaum', 'institutes': 'National Autonomous University of Mexico, Mexico City, Mexico'}]}, {'title': 'Some problems in distributed computational geometry', 'publishedin': 'Theor. Comput. Sci.', 'year': '2011', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/r/SRajsbaum', 'name': 'Sergio Rajsbaum', 'institutes': 'National Autonomous University of Mexico, Mexico City, Mexico'}]}]}]",[],"[{'author_name': 'Jorge Urrutia', 'worksCount': '403', 'citedByCount': '5110', 'hIndex': '27', 'i10Index': '82', 'twoYearMeanCitedness': '0.2'}, {'author_name': 'Jorge Urrutia', 'institute': [{'name': 'Universidad Nacional Autónoma de México', 'publicationsCount': '165745', 'publicationsCitedByCount': '1912708', 'institute_type': 'education'}]}]",How many times are the publications from the affiliation of the author of 'On Convex Quadrangulations of Point Sets on the Plane' cited?,1912708,Yes
b881cc39-1224-4104-9f54-1a26a258c697,"[{'single_authored_publications': [{'title': 'Optimal investment strategies with a reallocation constraint', 'publishedin': 'Math. Methods Oper. Res.', 'year': '2010'}, {'title': 'The Dynamic Programming Equation for Second Order Stochastic Target Problems', 'publishedin': 'SIAM J. Control. Optim.', 'year': '2009'}, {'title': 'Superreplication Under Gamma Constraints', 'publishedin': 'SIAM J. Control. Optim.', 'year': '2000'}, {'title': 'Viscosity Solutions for McKean-Vlasov Control on a Torus', 'publishedin': 'SIAM J. Control. Optim.', 'year': '2024'}, {'title': 'Superhedging and Dynamic Risk Measures under Volatility Uncertainty', 'publishedin': 'SIAM J. Control. Optim.', 'year': '2012'}]}, {'co_authored_publications': []}]",[],"[{'author_name': 'H. Meté Soner', 'worksCount': '234', 'citedByCount': '9247', 'hIndex': '45', 'i10Index': '104', 'twoYearMeanCitedness': '1.4285715'}, {'author_name': 'H. Meté Soner', 'institute': [{'name': 'Princeton University', 'publicationsCount': '148866', 'publicationsCitedByCount': '7380733', 'institute_type': 'education'}]}]",How many publication citations does the academic institution of the writer of the article titled 'Superhedging and Dynamic Risk Measures under Volatility Uncertainty' have?,7380733,Yes
19f5db43-2b8e-449d-8627-05dc8e49562d,"[{'single_authored_publications': [{'title': 'Econophysics: can physicists contribute to the science of economics?', 'publishedin': 'Comput. Sci. Eng.', 'year': '1999'}]}, {'co_authored_publications': []}]",[],"[{'author_name': 'H. Eugene Stanley', 'worksCount': '1094', 'citedByCount': '89568', 'hIndex': '133', 'i10Index': '637', 'twoYearMeanCitedness': '3.468085'}, {'author_name': 'H. Eugene Stanley', 'institute': [{'name': 'Boston University', 'publicationsCount': '220242', 'publicationsCitedByCount': '9090937', 'institute_type': 'education'}]}]",How many publication citations does the institution of the author of 'Econophysics: can physicists contribute to the science of economics?' have?,9090937,Yes
3ff1f98d-b0fe-4f28-9c83-bd996f36298f,"[{'single_authored_publications': [{'title': 'A Visualization Environment for the Space-Time-Cube', 'publishedin': 'SDH', 'year': '2005'}, {'title': 'Exploratory Visualization', 'publishedin': 'Encyclopedia of GIS', 'year': '2008'}, {'title': 'Exploratory Visualization', 'publishedin': 'Encyclopedia of GIS', 'year': '2017'}, {'title': 'A Usability Framework for the Design and Evaluation of an Exploratory Geovisualization Environment', 'publishedin': 'IV', 'year': '2004'}, {'title': 'Aim4GDI: Facilitating the Synthesis of GDI Resources through Mapping and Superimpositions of Metadata Summaries', 'publishedin': 'GeoInformatica', 'year': '2007'}]}, {'co_authored_publications': [{'title': 'Geobrowsing: creative thinking and knowledge discovery using geographic visualization', 'publishedin': 'Inf. Vis.', 'year': '2002', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/37/1967', 'name': 'Donna J. Peuquet', 'institutes': 'Penn State University, Department of Geography, University Park, PA, USA'}]}, {'title': 'Visualization for exploration of spatial data', 'publishedin': 'Int. J. Geogr. Inf. Sci.', 'year': '1999', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/m/AlanMMacEachren', 'name': 'Alan M. MacEachren', 'institutes': 'Penn State, University Park, USA'}]}]}]",[],"[{'author_name': 'M.J. Kraak', 'worksCount': '414', 'citedByCount': '4137', 'hIndex': '28', 'i10Index': '77', 'twoYearMeanCitedness': '0.56666666'}, {'author_name': 'M.J. Kraak', 'institute': [{'name': 'University of Twente', 'publicationsCount': '62142', 'publicationsCitedByCount': '1534417', 'institute_type': 'education'}]}]",What is the cited by count where the contributor of 'A Visualization Environment for the Space-Time-Cube' article is affiliated?,1534417,Yes
ad5af96b-6105-4670-bc5e-9a69c0c48edd,"[{'single_authored_publications': [{'title': 'Attention, Memory, and Wearable Interfaces', 'publishedin': 'IEEE Pervasive Comput.', 'year': '2002'}, {'title': 'BuzzWear: alert perception in wearable tactile displays on the wrist', 'publishedin': 'CHI', 'year': '2010'}, {'title': 'Wearable computing for the developing world', 'publishedin': 'IEEE Pervasive Comput.', 'year': '2005'}, {'title': 'Remembrance Agent: A Continuously Running Automated Information Retrieval System', 'publishedin': 'PAAM', 'year': '1996'}, {'title': 'The Challenges of Wearable Computing: Part 2', 'publishedin': 'IEEE Micro', 'year': '2001'}]}, {'co_authored_publications': [{'title': 'Wearable Devices: New Ways to Manage Information', 'publishedin': 'Computer', 'year': '1999', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/b/MarkBillinghurst', 'name': 'Mark Billinghurst', 'institutes': 'University of South Australia, Adelaide, Australia'}]}, {'title': 'Note from the editors of the special issue of the best paper nominees from the 2011 International Symposium on Wearable Computers', 'publishedin': 'Pers. Ubiquitous Comput.', 'year': '2013', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/93/5103-1', 'name': 'Thomas Martin', 'institutes': 'Virginia Polytechnic Institute and State University, Bradley Department of Electrical and Computer Engineering, Blacksburg, USA'}]}, {'title': 'We need to communicate!: helping hearing parents of deaf children learn american sign language', 'publishedin': 'ASSETS', 'year': '2011', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/64/1569', 'name': 'Kimberly Weaver', 'institutes': 'Georgia Institute of Technology, Atlanta, USA'}]}, {'title': 'Interfaces For Wearable Computers', 'publishedin': 'VRAIS', 'year': '1998', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/b/MarkBillinghurst', 'name': 'Mark Billinghurst', 'institutes': 'University of South Australia, Adelaide, Australia'}]}, {'title': 'Mobile Music Touch: The effect of primary tasks on passively learning piano sequences', 'publishedin': 'ISWC', 'year': '2010', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/47/7181', 'name': 'Daniel Kohlsdorf', 'institutes': 'Georgia Institute of Technology, Atlanta, USA'}]}]}]",[],"[{'author_name': 'Thad\ufeff Starner\ufeff\ufeff', 'worksCount': '349', 'citedByCount': '15861', 'hIndex': '55', 'i10Index': '175', 'twoYearMeanCitedness': '2.0666666'}, {'author_name': 'Thad\ufeff Starner\ufeff\ufeff', 'institute': [{'name': 'Georgia Institute of Technology', 'publicationsCount': '150877', 'publicationsCitedByCount': '4714719', 'institute_type': 'education'}]}]",How many scientific articles are attributed to the Thad Starner author's institution?,150877,Yes
36b4a234-ba1f-4184-a264-9951623138bb,"[{'single_authored_publications': [{'title': 'Guest Editorial: Intelligent Virtual Environments', 'publishedin': 'Appl. Artif. Intell.', 'year': '2000'}, {'title': 'I contain multitudes: creativity and emergent narrative', 'publishedin': 'Creativity & Cognition', 'year': '2013'}, {'title': 'Crowd-Sourced AI Authoring with ENIGMA', 'publishedin': 'ICIDS', 'year': '2010'}, {'title': 'From Synthetic Characters to Virtual Actors', 'publishedin': 'AIIDE', 'year': '2007'}, {'title': 'Solving the Narrative Paradox in VEs - Lessons from RPGs', 'publishedin': 'IVA', 'year': '2003'}]}, {'co_authored_publications': [{'title': 'Special issue on social impact of AI: killer robots or friendly fridges', 'publishedin': 'AI Soc.', 'year': '2011', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/74/5932', 'name': 'Greg J. Michaelson', 'institutes': 'Heriot-Watt University, School of Mathematical & Computer Sciences'}]}, {'title': 'Welcome to MY Virtual Place', 'publishedin': 'IVEVA', 'year': '2004', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/i/JesusIbanez', 'name': 'Jesús Ibáñez', 'institutes': 'University of Madeira, Madeira Interactive Technologies Institute (M-ITI), Funchal, Portugal'}]}]}]",[],"[{'author_name': 'Ruth Aylett', 'worksCount': '317', 'citedByCount': '3010', 'hIndex': '25', 'i10Index': '71', 'twoYearMeanCitedness': '0.27272728'}, {'author_name': 'Ruth Aylett', 'institute': [{'name': 'Heriot-Watt University', 'publicationsCount': '26399', 'publicationsCitedByCount': '573492', 'institute_type': 'education'}]}]",What is the cited by count of the institution where the author of 'I contain multitudes: creativity and emergent narrative' published in the Creativity & Cognition journal in 2013?,573492,Yes
b03eed39-2b32-4eae-9d83-5bb4b710179a,"[{'single_authored_publications': [{'title': 'Letter on lebesgue, logic, and program testing', 'publishedin': 'ACM SIGSOFT Softw. Eng. Notes', 'year': '1978'}, {'title': 'Continuing Prospects for an Engineering Discipline of Software', 'publishedin': 'IEEE Softw.', 'year': '2009'}, {'title': 'Beyond Programming-in-the-Large: The Next Challenges for Software Engineering', 'publishedin': 'Advanced Programming Environments', 'year': '1986'}, {'title': 'Putting ""Engineering"" into Software Engineering (Abstract)', 'publishedin': 'ACM Conference on Computer Science', 'year': '1994'}, {'title': 'An input-output model of interactive systems', 'publishedin': 'CHI', 'year': '1986'}]}, {'co_authored_publications': [{'title': 'Toward relaxing assumptions in languages and their implementations', 'publishedin': 'ACM SIGPLAN Notices', 'year': '1980', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/w/WilliamAWulf', 'name': 'William A. Wulf', 'institutes': 'University of Virginia, Charlottesville, USA'}]}, {'title': 'Formulations and Formalisms in Software Architecture', 'publishedin': 'Computer Science Today', 'year': '1995', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/01/2201', 'name': 'David Garlan', 'institutes': 'Carnegie Mellon University, Pittsburgh, USA'}]}, {'title': 'Toward relaxing assumptions in languages and the1r implementations', 'publishedin': 'ICCL', 'year': '1992', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/w/WilliamAWulf', 'name': 'William A. Wulf', 'institutes': 'University of Virginia, Charlottesville, USA'}]}, {'title': '""The Golden Age of Software Architecture"" Revisited', 'publishedin': 'IEEE Softw.', 'year': '2009', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/32/367', 'name': 'Paul C. Clements', 'institutes': 'BigLever Software'}]}, {'title': ""What's the value proposition of distance education?"", 'publishedin': 'Inroads', 'year': '2012', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/86/6244', 'name': 'Marian Petre', 'institutes': 'Open University, Milton Keynes, UK'}]}]}]",[],"[{'author_name': 'Mary Shaw', 'worksCount': '166', 'citedByCount': '3393', 'hIndex': '29', 'i10Index': '47', 'twoYearMeanCitedness': '0.0'}, {'author_name': 'Mary Shaw', 'institute': [{'name': 'Carnegie Mellon University', 'publicationsCount': '117175', 'publicationsCitedByCount': '4774016', 'institute_type': 'education'}]}]",What is the number of publications for the affiliation of the author who published 'Putting 'Engineering' into Software Engineering (Abstract)'?,117175,Yes
712e03d3-0da1-40e9-8fd0-87274e2ab805,"[{'single_authored_publications': [{'title': 'Sloppy Modeling', 'publishedin': 'Knowledge Representation and Organization in Machine Learning', 'year': '1989'}, {'title': 'Applications of Machine Learning', 'publishedin': 'EKAW', 'year': '1992'}, {'title': 'Fast-Ensembles of Minimum Redundancy Feature Selection', 'publishedin': 'LWA', 'year': '2010'}, {'title': 'Improving the Accuracy-Memory Trade-Off of Random Forests Via Leaf-Refinement', 'publishedin': 'CoRR', 'year': '2021'}, {'title': 'A Polynomial Approach to the Constructive Induction of Structural Knowledge', 'publishedin': 'Mach. Learn.', 'year': '1994'}]}, {'co_authored_publications': [{'title': 'Support vector machines and learning about time', 'publishedin': 'ICASSP (4)', 'year': '2003', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/26/4352-1', 'name': 'Stefan Rüping', 'institutes': 'Frauenhofer IAIA, Sankt Augustin, Germany'}]}, {'title': 'Active Sampling for Learning Interpretable Surrogate Machine Learning Models', 'publishedin': 'DSAA', 'year': '2020', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/242/4220', 'name': 'Amal Saadallah', 'institutes': 'Technical University of Dortmund, Germany'}]}, {'title': 'Parallel Loopy Belief Propagation in Conditional Random Fields', 'publishedin': 'LWA', 'year': '2011', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/24/1802', 'name': 'Nico Piatkowski', 'institutes': 'Technical University of Dortmund, Germany'}]}, {'title': 'Inspecting Sample Reusability for Active Learning', 'publishedin': 'Active Learning and Experimental Design @ AISTATS', 'year': '2011', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/73/7063', 'name': 'Katrin Tomanek', 'institutes': 'OpenTable'}]}, {'title': 'Meta-Adversarial Training of Neural Networks for Binary Classification', 'publishedin': 'IJCNN', 'year': '2021', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/242/4220', 'name': 'Amal Saadallah', 'institutes': 'Technical University of Dortmund, Germany'}]}]}]",[],"[{'author_name': 'Katharina Morik', 'worksCount': '443', 'citedByCount': '2645', 'hIndex': '25', 'i10Index': '60', 'twoYearMeanCitedness': '0.9'}, {'author_name': 'Katharina Morik', 'institute': [{'name': 'TU Dortmund University', 'publicationsCount': '42542', 'publicationsCitedByCount': '691340', 'institute_type': 'education'}]}]",What is the average two years citedness of the contributor of Support vector machines and learning about time?,0.9,Yes
f51f3831-9c9a-44ce-a398-736680aa84c5,"[{'single_authored_publications': [{'title': 'Neighborhood denoising for learning high-dimensional grasping manifolds', 'publishedin': 'IROS', 'year': '2008'}, {'title': 'Can We Learn Finite State Machine Robot Controllers from Interactive Demonstration?', 'publishedin': 'From Motor Learning to Interaction Learning in Robots', 'year': '2010'}, {'title': 'RoboFrameNet: Verb-centric semantics for actions in robot middleware', 'publishedin': 'ICRA', 'year': '2012'}, {'title': 'Dogged Learning for Robots', 'publishedin': 'ICRA', 'year': '2007'}, {'title': 'Sparse control for high-DOF assistive robots', 'publishedin': 'Intell. Serv. Robotics', 'year': '2008'}]}, {'co_authored_publications': [{'title': 'Performance-Derived Behavior Vocabularies: Data-Driven Acquisition of Skills from Motion', 'publishedin': 'Int. J. Humanoid Robotics', 'year': '2004', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/37/5216', 'name': 'Maja J. Mataric', 'institutes': 'University of Southern California, Los Angeles, Interaction Lab, CA, USA'}]}, {'title': ""Uncovering manifold structures in Robonaut's sensory-data state space"", 'publishedin': 'Humanoids', 'year': '2005', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/59/6272', 'name': 'Richard Alan Peters II', 'institutes': 'Vanderbilt University, Nashville, TN, USA'}]}, {'title': 'Deriving action and behavior primitives from human motion data', 'publishedin': 'IROS', 'year': '2002', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/37/5216', 'name': 'Maja J. Mataric', 'institutes': 'University of Southern California, Los Angeles, Interaction Lab, CA, USA'}]}, {'title': 'Natural User Interfaces for Adjustable Autonomy in Robot Control', 'publishedin': 'IEEE Computer Graphics and Applications', 'year': '2015', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/48/4693', 'name': 'Joseph J. LaViola Jr.', 'institutes': 'University of Central Florida, Orlando, USA'}]}, {'title': 'A spatio-temporal extension to Isomap nonlinear dimension reduction', 'publishedin': 'ICML', 'year': '2004', 'co_authors': [{'co_author_uri': 'https://dblp.org/pid/37/5216', 'name': 'Maja J. Mataric', 'institutes': 'University of Southern California, Los Angeles, Interaction Lab, CA, USA'}]}]}]",[],"[{'author_name': 'Odest Chadwicke Jenkins', 'worksCount': '202', 'citedByCount': '3029', 'hIndex': '28', 'i10Index': '65', 'twoYearMeanCitedness': '1.12'}, {'author_name': 'Odest Chadwicke Jenkins', 'institute': [{'name': 'University of Michigan–Ann Arbor', 'publicationsCount': '837568', 'publicationsCitedByCount': '15529260', 'institute_type': 'education'}]}]",How many publications does the contributor who published Natural User Interfaces for Adjustable Autonomy in Robot Control in the year 2015 have?,202,Yes
